question,link,answer
庄子能做到自己描述的境界吗？,https://www.zhihu.com/question/515283212/answer/2345562119,"1、庄子的下限：
贫穷。逗逼。嘴毒。没钱，没工作，没事业。——就一普通人。
2、庄子的上限：
庄子的上限，就是你们人类的上限。
人类有什么上限？
真实、无为。
一个真实的人，就是人类精神世界的顶峰。
就好比一个玉器，要怎么才是玉器？做自己就可以了。
人要怎么才叫艺术品？要怎么活才能活出人的自由品质？
活出人本身。
3、不材之木与神木。
庄子，既没有工作，又没有钱，又没干什么事业，也就是他的寓言中讲的“不材之木”，是废材。
我们一般历史上留名的人，都有事业。
庄子，既没有什么主张，也没有什么事业，但是最聪明的人，都喜欢他。
这棵没什么用的树，在得道之人眼中，却是神木。
南伯子綦游乎商之丘，见大木焉，有异：结驷千乘，隐将芘其所藾。子綦曰：“此何木也哉！此必有异材夫！”仰而视其细枝，则拳曲而不可以为栋梁；俯而视其大根，则轴解而不可以为棺椁；舐其叶，则口烂而为伤；嗅之则使人狂酲三日而不已。子綦曰“此果不材之木也，以至于此其大也。嗟乎神人，以此不材。”
所以，庄子的谋生方式，和自己寓言中的境界，是一致的。
4、在生死的边缘，学会了谋生。
因为人生凶险——庄子《人间世》专门讲这个——有利用价值的，都在食物链当中，参与这个世界的利益斗争的人，都没能保存自己。例如，我们普通人，辛苦工作，获得一点口粮，一辈子就那样过了。这都是不会保存自己，没有活出完整的自己。
神木为了学会保存自己的完整，到了生死边缘。
且予求无所可用久矣！几死，乃今得之，为予大用。
这也是“道”的境界，“道”无用，“爱”无用，“自由”无用，才保存了它在宇宙中无处不在的地位。
这也是《道德经》中“水”的境界：处众人之所恶，为而不争。
呆在不被重视的地方，默默洒下一片阴凉。
5、为什么要到生死边缘去保存自己的完整性？
完整性是无法利用的。
能够利用的，都是一些“个性”，但个性不完整。
我们个体也不完整，所以，必须悟道，成为那个“无我”的人，才完整。
《道德经》说：“有以为利，无以为用”。
没有个性，就没法利用。
《列子·天瑞》说：天地无全功，圣人无全能，万物无全用。……生覆者不能形载，形载者不能教化。
长得好看的，不能拿来当饭吃。
洗脸的毛巾，就不能拿来洗澡。
……
个性使得我们人能够被利用，但不自由。
我们能考上985211，能干许多事情，但却不能活出自由，只有庄子、老子、释迦牟尼、克里希那穆提之类的，才能活出自由，这就是因为，我们失去了完整。
我们还有“自我”。
所以，到了生死边缘，才学会了谋生之道。
PS：
你不实际去实践一下，你是不会知道这些东西的。所以，庄子能不能达到这样的境界，我认为，没有经过实践的人，根本就不懂这些东西。实践了又能写出来，段位又远超这个境界了。
就好比，你游戏打得好，还要写出教程来，那么，你实际上的游戏段位，只会多不会少。
古之真人，不逆寡，不雄成，不谟士。若然者，过而弗悔，当而不自得也。
古之真人，其寝不梦，其觉无忧，其食不甘，其息深深。
古之真人，不知说生，不知恶死。其出不欣，其入不距。（庄子《大宗师》）
这些都是普通的冥想境界罢了，入门的人都会。例如“过而弗悔，当而不自得”，就普通的“活在当下”：犯了错误也不会后悔自责，做了什么事也不得意洋洋。
不活在时间中的人，没有自我中心的人，都不难。
不要以为“道”很复杂。我不明白有的人为什么学来学去，总学不会。"
庄子能做到自己描述的境界吗？,https://www.zhihu.com/question/515283212/answer/2345562119,"修行的终极境界是每时每刻都是宠辱不惊，不悲不喜。达到这种境界当然很难，可是哪怕是普通人也很容易在某个时刻达到“飘飘乎，如冯虚御风，而不知其所止”的状态。那么这个状态不是“达到境界”了吗？
其实也是！所以达到某个境界并不复杂，复杂的是每时每刻都能维持那个状态。
问主问庄子能做到他自己描述的境界吗？能，
但是是不是每时每刻都在那个心境里？他会不会怀疑，会不会动摇，会不会在穷困潦倒中偶尔艳羡富贵？会不会在老婆离世后悲痛不已？会不会在朋友背叛后心生报复？
我们不知道，没有人知道。但以常理来看，他会！
但是即便庄子不是百分百纯粹，又如何？
人其实就没有百分百纯粹的！我们从一开始就不应该把追求百分百纯粹的经济当做是一个目标。
一念逍遥有一念逍遥的快意，一刻忘我有一刻忘我的自得。人生就是一念一刻组成的。如果把自己的注意力都集中在这一念一刻则能积土成山，积水成渊。反过来把开悟当做一劳永逸，觉得达到境界就可以永远逍遥极乐，那是小瞧了人生。"
庄子能做到自己描述的境界吗？,https://www.zhihu.com/question/515283212/answer/2345562119,"先说结论：庄子可以做到自己描述的境界。

有人说，庄子本人是中国哲学史上思考最冷静最深邃的哲学家，没有之一；而《庄子》文本，也是中国文学史上最伟大最具有浪漫想象的作品，没有之一。
我深表赞同！庄子的确有些高深。为了把话说得更容易理解，我们分成一些小话题。
1. 人生都有什么样的境地
2. 对不同境地的人进行举例
3. 庄子描述了什么样的境地
4. 庄子达到了很高境地的故事
5. 庄子提升境地的方法
6. 历代人对庄子境地的评价
7. 小结
1. 人生都有什么样的境地

先要说一下，人生都有什么样的境地，有什么样的境界。
境界既是指人的思想觉悟和精神修养，也是自我修持的能力。也指一个人的思想觉悟和精神修养的水平。
我们通常看到一些对人有不同层次的描述，从低到高有：恶人、庸人、小人、常人、能人、士人、君子、贤人、圣人、至人、真人、天人、神人。
有一种境地（这个境地就是指做到），才有一层其实的认知，就有一套思想、价值观、行为体系，也会有相应的现实境地的对接。
这是从不同类型的人的角度说境地的，境地，“见山是山”“见山不是山”“见山还是山”的境界，其中有得意忘形的境界、物我两忘的境界等等。
2. 对不同境地的人进行举例
人对同一件事，会有不同的表现。说好听就是见仁见智，其实，其中也有不同层次，不同角度或不同境地的划分。
比如，人世间被邀请做官这件事，不同的人就会有不同的态度。
李白拿到录取通知书之后，赶紧写诗：“仰天大笑出门去，我辈岂是蓬蒿人。”
而庄子一次是推辞了楚王的招募，想做一个“在泥里边活着的乌龟”；还有一次，是和惠施说：“他的相位是像腐鼠一样的东西”。
孔子和孟子是希望自己的学说被当世所用的，所以，周游列国。这是求官了。
这里仅仅是在一件事上一个片段的比较，并不能说明这个人一辈子的情况。而在庄子的境界我们也可以有所体会了。

3. 庄子描述了什么样的境地
《庄子》的内篇部分7篇文章，是庄子思想的核心。
有朋友建议阅读的顺序是：①《大宗师》；②《齐物论》；③《逍遥游》；④《养生主》；⑤《人间世》；⑥《德充符》；⑦《应帝王》。
各篇要点如下：
第一篇《大宗师》是本体论，讲宇宙万物起源，居于庄子哲学思想的最顶层。庄子认为“道”虽无形，其实有生命。“道”的生命是包括人的生命在内的万物生命的体现。人一旦体悟了“道”，就是可以与造化交朋友与天地合一的体道之人，就叫“真人”。是真正达到了“吾丧我”的境界。

第二篇《齐物论》，是庄子对世界的认识论。万物是平等。无论是高低远近美丑，在“道”的层面上实现通而为一。面对纷纷扰扰的世界，庄子的选择是“不争”，“物我两忘”。

很多小伙伴都熟悉的《逍遥游》是庄子人生观的集中体现。庄子一生都在追求精神的绝对自由，这是一种不受任何限制的的境界，这种境界叫做逍遥游。无所待”和“物物而不物于物”，就是庄子逍遥游人生哲学的核心所在。

第四篇《养生主》是关于养生的学问。在本文中，庄子阐述了神重于形、养生要守内轻外的理念。

第五篇《人间世》讲的是庄子的处世哲学。庄子讲了“心斋”“坐忘”的处世之法。他主张“无听之以耳，而听之以心”。在每一件事中修养自己。

第六篇《德充符》中，讲了五个形貌丑陋的人，因道德圆满而备受人推崇的故事。庄子“形有所短而德有所长”的道德观，追求精神上自由的境界非常明确。

第七篇《应帝王》讲的是政治观。庄子的政治观是建立在宇宙观上的。既然道常无为，政治就应无为；既然道法自然，政治就应顺其自然；既然万物平等齐一，那么就应该抛弃以人为中心的谬论，按照道法自然的原则行政。庄子讲了混沌被朋友凿七窍而死的故事，形象地说明了好心办坏事、从有为到乱作为的道理。因此，庄子的政治观乃无为之术。

我们从这些内容中，可以了解一些庄子思想的境界。也建议各位小伙伴去读原文。

4. 庄子达到了很高境地的故事
我们认为庄子达成了很高的境地，那么，有什么事情可以证明吗？
当然我们要找他自己的故事。
故事一：知鱼之乐。
在庄子的境界中，鱼的快乐是一种客观存在，他只是说出来而已。庄子知道了河边鱼的快乐，但惠施不知道。所以，惠施表示怀疑而反问。这个时候，庄子的认知已经是很稳定了，对自己的体悟很笃定，而且那是一个真实存在的。
故事二：庄周梦蝶
对于一个好玩的梦，能想象出两重时空来。不是想象，是做到之后的叙述而已。正如现在的平行世界一样。很多人无感，但庄子就非常清晰地有所认知。
故事三：庄子陪葬
一般的人都是喜欢活着而惧怕死去的，但有志之士则会舍生取义，很多刺客和有识之士的故事多有证明。在先秦人的观念中，还没有“二十年后又是一条好汉”的轮回说法。而庄子对死亡的态度非常达观，他直接看到了事情的本质，我们和这个世界本来就是一体的。他说：“吾以天地为棺椁，以日月为连璧，星辰为珠玑，万物为赍送。”一下子让人豁然开朗。这个时候，死亡也是一件神圣的体验了。

5. 庄子提升境地的方法
提升境地在古人来说，首先就需要提高心性。而提升心性的修炼方法，静坐和站桩是首选的。
后世的很多修炼人从庄子之中化出了很多功夫。比如《庄子》中的“心斋”“坐忘”直接就被后世引为静坐的秘诀了。
【坐忘】《庄子·大宗师》云；“堕肢体，黜聪明，离形去知，同于大通，此谓坐忘。”
【心斋】《庄子·人间世》：“仲尼曰：‘若一志。无听之以耳而听之以心，无听之以心而听之以气。听止于耳，心止于符。气也者，虚而待物者也。唯道集虚。虚者，心斋也。’”
每次当我们诵读这个段落的时候，就会有全身气机萌动的感觉。哈哈
另外，庄子说“吸之于踵”“ 熊经鸟伸”“ 缘督以为经”“游刃有余”等等，都被后世修炼家伙养生家所研究和沿用。
总之，一个人的身体健康，元气充盈了，对事物的观察和感应能力就会自然提升，境地也自然是逐次花开地自然呈现。

6. 历代人对庄子境地的评价
看以前历史的时候，会有一个习惯，先去司马迁的《史记》中去查一查。不过司马迁对于庄子着笔篇幅不多，只写了几百字。说：庄子“其学无所不窥”，非常渊博。
清胡文英把庄子表扬了一番。但表扬的时候把庄子这样的先秦宝贝，说出了明清《菜根谭》之类的流行散文的感觉了。他说：“庄子眼极冷，心肠最热。眼冷，故是非不管：心肠热，故感慨万端。虽知无用，而未能忘情，到底是热肠挂住：虽不能忘情，而终不下手，到底是冷眼看穿。”
在《古文观止》中，编者说：“苏轼的前后《赤壁赋》堪比《庄子》一书”。这点我还是很赞同的。毕竟苏轼苏大哥对庄子的境界领悟很深，可做知音。

7. 小结
我们现代的中国读书人历代都是喜忧参半。喜的是：前代先贤给我们留下无数精神财富；忧的是：我们皓首穷经或许也只能领略这些财富很小的一部分。而庄子早有预言： “吾生也有涯，而知也无涯。以有涯随无涯，殆已！哈哈，庄子这句真贴切。所以，我们就不用去读那么多书了吧，不用去学习了吧。
庄子接着说：已而为知者，殆而已矣！为善无近名，为恶无近刑，缘督以为经，可以保身，可以全生，可以养亲，可以尽年。”
听到了吧。庄子告诉了我们一条在世上逍遥的秘诀，就是好事坏事可以一起做，“为善无近名，为恶无近刑”。哈哈。
体会一下，这是什么样的境界呢？"
庄子能做到自己描述的境界吗？,https://www.zhihu.com/question/515283212/answer/2345562119,"一、逍遥游。
平台决定高度，人各有志，不能强求，人都有自己的局限性。
二、齐物论。
人和万物都是一体的，同出一源而变化无穷，达到天人合一的终极境界。
三、养生主。
要顺天应时，因势导利，不做无用功，践行精准有度的中庸之道。
四、人世间。
积极入世，红尘炼心。保全自己再保全别人，立己再立人。与人交往顺从，引导，掌握。
五、德充符。
人活着就是为了提高加深修养提高自己的德行，对万事万物不要有对抗心理，但是不能逆来顺受丧失斗争精神。做一个有顺道有德的人，心怀仁爱，保持内心的宁静和平和，做事发心，诚心诚意。
六、至乐。
1、天下没有绝对的好事，也没有绝对的坏事，没有绝对的快乐，也没有绝对的忧愁，一切事物都是一体两面的，重点在于自己的站位在哪里，怎么去看待。
2、用养鱼的方法去养鸟，鸟肯定会死。具体情况要具体分析，不能做教条主义。
3、世间一切都是能量（波形态、粒子形态）构成，什么都没有，什么都有。如何掌握这个能量的关键在于心。意识能影响物质，物质同样影响意识。
七、达生
1、接受每一个当下，一切本应该就是这样的，不要抗拒，保持平和心态，不要怕羞耻，不要怕难堪，不要怕丢人，什么都不要怕，完全的接受，每一个当下都是过去所有一切因的果。
2、修行是修自己的心，有智慧的人不会做害人的事情，因为他知道做了一定会有报应。凡人畏果，菩萨畏因。
3、在人世间的最高境界就是心安理得的做人，心神合一的做事，一切事以平常的心态看待，一切事以高度的心神合一状态做，战略上藐视敌人，战术上重视敌人。外物看淡一点，没什么了不起，心平气和的去为人处事。
4、任何事把握分寸，把握度，中庸之道，精准、正确、平衡。
5、心理暗示很重要，对自已对他人都是一样。想把握一个人就要把握他的心，关键在于你如何去引导，如何达到心理暗示的最佳效果。一句话可以让垂危的人恢复健康，也可以让健康的人走向死亡。慎言。
6、你本身就与这个世界完全契合，不需要过分逼迫自己。就像春夏秋冬、万物生长都是自然而然的事情，不应该出现的事物自然不会出现。
7、对人要因材施教，对症下药，不要用养鱼的办法去养鸟。
八、达生
1、人生在世，要像水一样，随变化而变化，但是要保持自己的本性，修炼自己的心，提高德行。
2、有意无意标榜自己的人一般都没有什么出息，除非情势需要而有意识的使用这种方式。
3、小人之交甜如蜜，君子之交淡如水。
4、我就是宇宙，宇宙就是我，生生不息。
九、田子方
1、一个人的言行举止很重要，举手投足间流露的气质就可以看出这个人的大概，要高度注意自己这方面。
2、人是自然的产物，一切行为遵循自然法则，自然法则就是人心，人心就是自然法则，融为一体。
3、领导的艺术，适当的妥协，适当的强势，具体情况具体分析，把握大方向。
十、知北海
1、宇宙的一切相都是能量的聚合，一切空都是能量消散。
2、尽人事要唯物辩证法，听天命要唯心辩证法，这同样是对立统一原则，一体两面，不能极端的认定一头，贬低一头。具体情况具体分析。
3、失去道而后才有德，失去德而后才有仁，失去仁而后才有义。所以说缺什么就会提倡什么。当下社会离道越来越远。
4、生是死的开始，死是生的开始。
5、一切顺道而行，顺其自然，观察天道从而明白做人的道理，然后扎实实践。
6、道是看不见摸不着的体，德是调和顺应，调和一切事物遵循道的规则便是德，因势导利便是德，顺应自然也是德，道让一切都生生不息，我们要尽可能的认识道，理解道，才能更好的修德。但是德也不是说一切都要让他走向好的好方面，其中也会有杀戮或者其他的不好的事情，但是大仁不仁，要把握不择手段完成最高德行的原则和目标。
7、当你的心态变了的时候你的生活也就随之改变了。
8、心应万事万物而不动，安于当下，心安理得，这就是君子。
9、不伤害万物，也不会被万物所伤。
一、庚桑楚
1、智慧在平和宁静慈悲的心态中显现，在心安理得的顺应中显现，在心神合一的无杂念中显现，如何做到这些呢？就是修身养德，踏实的去做好当下的事情，一个有德的人必然有智慧，有智慧的人必然有德，有德才能让人的心安定下来，吸引和影响周围的人，从而改变环境。
2、问心无愧的、顺应天道去做人做事，接受一切，这离道更近了。真诚的表现在我就是内圣。
3、如果你接受不了纷至而来的困苦和磨难，那么你同样也接受不了降临在你身上的快乐和幸福，因为心不能安，不能顺应自然。
4、能掌握人心就掌握了道，心是一切。
5、心是无善无恶的道题，神是道用，神和心合一就是无敌。
6、困厄、难堪、委屈、荣耀、快乐等等一切都是自然而然的，没什么，不需要当回事，并不是值得提的事情。
7、从古至今，最好的笼络人心的方法就是投其所好（非贬义），就是要用合适的方式，用养鱼的方式去养鱼，用养鸟的方式去养鸟。

手机码字不易，自己的一点小心得，如果看到能让您有一点收获希望能点个赞哈"
庄子能做到自己描述的境界吗？,https://www.zhihu.com/question/515283212/answer/2345562119,"达不到，不光自己达不到，他认为孔子，老子也不是最高境界的。
最高境界得有那么几个，具体谁我忘了。
他认为可以划分为“至德者”一个重要特征，或者说唯一的条件，就是不说话
他故事里出现的最高境界的角色，没有说话的，即使是传授，也是“不言之教”
如王骀。
庄子一般把故事人物境界分为三种
闻道者＜知道者＜至德者
先从不言之教的角度看，为什么至德者无言，
首先说庄子的哲学核心是一元论，万物通连为一，一旦进入言说你就教不好，不论你先从哪里讲你一开口就有了先后顺序，没办法客观的体现通联为一，举个例子:
1，一个女大学生酒店做兼职。
就会觉得这女生不是好人。
2，一个陪酒女赚钱为了在大学读书。
这就感觉这个失足女还蛮励志。
其实二者都是一回事，语言的局限性，和表达的先后顺序对真知中每一环重要度的影响，导致无法理解通联为一的感受。

（这里插一点一元论的东西，庄子以人的身体为例子，人的四肢百骸五脏等等器官到底哪个最重要？心脏重要，血液重要，鼻子重要？还是手？肾？肺？
结论是都重要，无分形状，大小，颜色，形态，名称，不论哪个环节病了，身体都会不好了，这就是中国哲学天人合一，不论庄子孔子老子各种子，都差不多。区别于西哲对两个对象对立式的讨论，曾经也沉迷过西哲，最后发现好像也就那么回事。）
上面说了“至德者”无言的第一个为什么，第二个为什么就是另一个哲学问题
主体与客体之间的关系。
不论“至德者”还是藐姑射之山的“神人”
无言是最高境界者的外在特征，那么“至德者”具备怎样的素质？
至德者拥有真知。
已知的就是能够掌控的，已知的都是主体部分，像做研究，科学，都是用已知的去推导未知。
主体是知的部分
能够掌控的＝知
比如古代的官，知县，知州等。
知就等于主宰，那么，主宰者的定义是什么？
A能影响B，但B完全不能影响A，那么A就是主宰者。
比如生活中抖音那些救助小动物的，爱心人士，救助一只小动物，小动物呲牙咧嘴很凶，而人呢？人觉得它只是害怕了，触发了自我保护的机制，不论小动物怎么凶，都不会影响人继续救助它，人就是这个小动物掌控者，主宰者。
但是把这个小动物换成另一个人，男人，或女人，你的情绪就会被影响，事实上你也确实无法掌控对方。
好玩不？
当鲲化为鹏，蜩与学鸠嘴说个不停，鹏却不说话，也影响不了鹏的原因。
燕雀安知鸿鹄之志。
这就是为什么庄子故事中的“真知者”“至德者”都是无言的，没有台词的。
也是为什么庄子不像老子直接阐述自己的哲学观点，而是脱裤子放屁戏剧式的去整体的，身临其境的展现。
既然说了庄子的哲学脉络是通联的，又连接到小大之辩，我就不继续“通联”了。
想认真研究庄子本人的哲学思想就看内七篇，内七篇才是庄子本人所做，内容都是连贯的，外杂篇绝大部分是后世仿作，仿的包括句式结构都一样，都仿起飞了，还有几篇草稿。
什么子非鱼阿，什么庄子是杠精，逗比阿，那并非真实的东西，作为一种兴趣引导自己去学习庄子，也是不错的。"
有哪些你想发明却已经被人发明了的东西？,https://www.zhihu.com/question/31937124/answer/3318675796,"那是很久很久以前的事了。
一个闷热的下午，我坐在小学的教室里昏昏欲睡，脑中回旋着小卖部五毛一包的辣条的滋味，可恨我钱包空空，无法解馋。
“要是有钱就好了...”
突然，一个念头如闪电一般划过脑海，压过了其他一切想法，连老师讲课的声音都变得遥远而模糊。
“如果我建立一个零食会，入会交一元……”
但是，没人会白送你钱。
“那……那就奖励拉人入会！对，入会交一元，拉人赚五毛，这样大家就会不停拉人，而每一个人的加入，都会给我带来一包辣条……天啊！”
可惜的是，在被几个人拒绝后，我便放弃了这个念头。但是我相信，我将来一定能靠这种想法赚大钱。





后来我才知道，这叫传销。
500赞纪念
你说你有一个大胆的想法，但是我们国家有一套完善的法律。"
有哪些你想发明却已经被人发明了的东西？,https://www.zhihu.com/question/31937124/answer/3318675796,"疯狂练鼓时，

无意打出一个极为酷炫的beat 。
我跟老师说 ：
我会不会成为鼓神！
老师让我演示一遍

然后 老师回我 ：
孩子 这是你下一课要学的beat
卧槽？！"
有哪些你想发明却已经被人发明了的东西？,https://www.zhihu.com/question/31937124/answer/3318675796,"小时候很喜欢吃炸物。于是就研究了一下油炸原理。
通过与水煮做对比，我发现了一个最明显的区别--介质不同，水只能到达100℃，而油缺可能达到200℃以上，这样炸的时候可以迅速把表面的水分蒸发形成脆壳，同时还能锁住里面的水分。
后来我就想，既然主要就是介质上的区别，我想到了空气，空气周围温度也能提升到很高，而且还可以更好的包裹食材，同时还能省油。
我写了一篇文章给我的老师，我老师告诉我这是烤箱。"
有哪些你想发明却已经被人发明了的东西？,https://www.zhihu.com/question/31937124/answer/3318675796,初三的数学课上我胡思乱想，就想怎么才能不劳动挣大钱。突然想到一个好主意，就是先问一个人借五块钱，然后再问另一个人借十块，然后给第一个人还五块，这样我就有五块钱可以花了，只要一直不停的借钱，我就可以有花不完的钱了。那天我高兴的一宿没睡，心里琢磨着自己的计划。后来我才知道这玩意叫庞氏骗局，一百多年前就有了。我好伤心
有哪些你想发明却已经被人发明了的东西？,https://www.zhihu.com/question/31937124/answer/3318675796,"人们对自己心灵中闪过的微光，往往会将它舍弃，只因为这是自己的东西。而从天才的作品中，人们却认出了曾被自己舍弃的微光…...""
——2012上海高考作文"
